,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
0,salt lake city,17899,2012.0,volkswagen,golf r,excellent,4 cylinders,gas,63500.0,clean,manual,4wd,hatchback,black,1
1,salt lake city,13999,2009.0,ram,f-150,excellent,6 cylinders,gas,120057.0,clean,automatic,4wd,pickup,silver,2
2,salt lake city,34500,2017.0,ford,f-350,excellent,6 cylinders,diesel,95484.0,clean,automatic,4wd,pickup,white,2
3,salt lake city,14500,2007.0,gmc,sierra,excellent,6 cylinders,gas,89340.0,clean,automatic,4wd,pickup,white,2
4,salt lake city,12500,2013.0,ford,f-250,excellent,6 cylinders,gas,226031.0,clean,automatic,4wd,pickup,white,2
5,salt lake city,34500,2012.0,ram,f-150,excellent,6 cylinders,diesel,128153.0,clean,automatic,4wd,pickup,silver,2
6,salt lake city,16500,2013.0,gmc,yukon,excellent,6 cylinders,other,156385.0,clean,automatic,4wd,SUV,silver,2
7,salt lake city,14500,2007.0,toyota,tundra,excellent,6 cylinders,gas,135287.0,clean,automatic,4wd,pickup,white,2
8,salt lake city,27999,2015.0,gmc,sierra,excellent,6 cylinders,gas,73612.0,clean,automatic,4wd,pickup,brown,1
9,salt lake city,24999,2014.0,ram,2500,excellent,6 cylinders,diesel,158156.0,clean,automatic,4wd,pickup,white,2
10,salt lake city,35500,2015.0,gmc,sierra,excellent,6 cylinders,diesel,127515.0,clean,automatic,4wd,pickup,black,1
11,salt lake city,8999,2002.0,chevrolet,silverado,excellent,6 cylinders,gas,179098.0,clean,automatic,4wd,pickup,white,2
12,salt lake city,5999,2003.0,mercedes-benz,s-class,excellent,6 cylinders,gas,185220.0,clean,automatic,4wd,sedan,silver,2
13,salt lake city,13500,2010.0,gmc,sierra,excellent,6 cylinders,gas,231570.0,clean,automatic,4wd,pickup,silver,2
14,salt lake city,31895,2008.0,jeep,wrangler rubicon unlimited,excellent,8 cylinders,gas,75000.0,clean,automatic,4wd,SUV,white,2
15,salt lake city,9500,2001.0,ford,excursion limited,good,8 cylinders,diesel,99185.07784431137,clean,automatic,4wd,SUV,grey,1
16,salt lake city,4600,2008.0,honda,civic,good,4 cylinders,gas,110982.0,clean,automatic,fwd,sedan,grey,3
17,salt lake city,32995,2014.0,gmc,sierra 1500,excellent,8 cylinders,gas,93242.0,clean,automatic,4wd,pickup,grey,1
18,salt lake city,26950,2015.0,ram,3500 hd,excellent,6 cylinders,diesel,68013.0,rebuilt,automatic,4wd,truck,white,2
19,salt lake city,8300,2016.0,chevrolet,spark ev,like new,6 cylinders,electric,28000.0,clean,automatic,4wd,SUV,white,2
20,salt lake city,27476,2015.0,lexus,rx,excellent,6 cylinders,gas,41245.0,clean,automatic,4wd,SUV,white,2
21,salt lake city,23500,2011.0,cadillac,escalade esv,excellent,8 cylinders,gas,80855.0,clean,automatic,4wd,SUV,white,2
