,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
0,salt lake city,17899,2012.0,volkswagen,golf r,excellent,4 cylinders,gas,63500.0,clean,manual,4wd,hatchback,black
1,salt lake city,0,2016.0,ford,f-150,excellent,,gas,10.0,clean,automatic,4wd,,
2,salt lake city,46463,2015.0,gmc,sierra 1500,excellent,,gas,7554.0,clean,automatic,4wd,,white
3,salt lake city,0,2016.0,ford,f-150,excellent,,gas,10.0,clean,automatic,4wd,,
4,salt lake city,49999,2018.0,ford,f-450,,,diesel,70150.0,clean,automatic,4wd,pickup,white
5,salt lake city,13999,2009.0,ram,,,,gas,120057.0,clean,automatic,4wd,pickup,silver
6,salt lake city,34500,2017.0,ford,f-350,,,diesel,95484.0,clean,automatic,4wd,pickup,white
7,salt lake city,14500,2007.0,gmc,sierra,,,gas,89340.0,clean,automatic,4wd,pickup,
8,salt lake city,12500,2013.0,ford,f-250,,,gas,226031.0,clean,automatic,4wd,pickup,white
9,salt lake city,34500,2012.0,ram,,,,diesel,128153.0,clean,automatic,4wd,pickup,silver
10,salt lake city,5900,1994.0,ford,f-250,,,gas,168838.0,clean,manual,4wd,pickup,white
11,salt lake city,16500,2013.0,gmc,yukon,,,other,156385.0,clean,automatic,4wd,SUV,silver
12,salt lake city,14500,2007.0,toyota,tundra,,,gas,135287.0,clean,automatic,4wd,pickup,
13,salt lake city,27999,2015.0,gmc,sierra,,,gas,73612.0,clean,automatic,4wd,pickup,brown
14,salt lake city,14999,2004.0,ram,,,,diesel,235790.0,clean,automatic,4wd,pickup,blue
15,salt lake city,24999,2014.0,ram,2500,,,diesel,158156.0,clean,automatic,4wd,pickup,white
16,salt lake city,35500,2015.0,gmc,sierra,,,diesel,127515.0,clean,automatic,4wd,pickup,black
17,salt lake city,8999,2002.0,chevrolet,silverado,,,gas,179098.0,clean,automatic,4wd,pickup,white
18,salt lake city,5999,2003.0,mercedes-benz,s-class,,,gas,185220.0,clean,automatic,,sedan,silver
19,salt lake city,63500,2019.0,ford,f-350,,,diesel,20930.0,clean,automatic,4wd,pickup,black
20,salt lake city,13500,2010.0,gmc,sierra,,,gas,231570.0,clean,automatic,4wd,pickup,silver
21,salt lake city,31895,2008.0,jeep,wrangler rubicon unlimited,excellent,8 cylinders,gas,75000.0,clean,automatic,4wd,,
22,salt lake city,9500,2001.0,ford,excursion limited,good,8 cylinders,diesel,,clean,automatic,4wd,,grey
23,salt lake city,57995,,,olet Silverado 2500HD,,8 cylinders,,9458.0,clean,automatic,4wd,pickup,grey
24,salt lake city,4600,2008.0,honda,civic,good,4 cylinders,gas,110982.0,clean,automatic,fwd,sedan,grey
25,salt lake city,32995,2014.0,gmc,sierra 1500,,8 cylinders,,93242.0,clean,automatic,4wd,pickup,grey
26,salt lake city,39995,,,ierra 1500,,8 cylinders,,15708.0,clean,automatic,4wd,pickup,black
27,salt lake city,26950,2015.0,ram,3500 hd,,6 cylinders,diesel,68013.0,rebuilt,automatic,4wd,truck,white
28,salt lake city,39995,2016.0,chevrolet,silverado 1500,,8 cylinders,gas,23773.0,clean,automatic,4wd,pickup,black
29,salt lake city,8300,2016.0,chevrolet,spark ev,like new,,electric,28000.0,clean,automatic,,,
30,salt lake city,30000,1992.0,,American General,excellent,8 cylinders,diesel,13000.0,clean,automatic,4wd,,
31,salt lake city,43995,,,olet Silverado 1500,,6 cylinders,,7238.0,clean,automatic,4wd,pickup,black
32,salt lake city,37995,2017.0,ram,1500,,8 cylinders,gas,21125.0,clean,automatic,4wd,pickup,white
33,salt lake city,43995,,,ierra 1500,,8 cylinders,gas,9968.0,clean,automatic,4wd,pickup,red
34,salt lake city,59995,,,ierra 1500,,8 cylinders,,9228.0,clean,automatic,4wd,pickup,white
35,salt lake city,27476,2015.0,lexus,rx,,6 cylinders,gas,41245.0,clean,automatic,4wd,SUV,
36,salt lake city,23500,2011.0,cadillac,escalade esv,,8 cylinders,gas,80855.0,clean,automatic,4wd,SUV,
37,salt lake city,15475,2016.0,dodge,grand caravan,,6 cylinders,gas,58103.0,clean,automatic,fwd,,
38,salt lake city,15475,2018.0,hyundai,elantra,,4 cylinders,gas,11892.0,clean,automatic,fwd,sedan,
39,salt lake city,3995,1999.0,subaru,outback,,4 cylinders,gas,215349.0,clean,automatic,4wd,wagon,blue
40,salt lake city,34900,2015.0,toyota,tundra,,8 cylinders,gas,42649.0,clean,automatic,4wd,truck,
41,salt lake city,21475,2018.0,honda,civic,,4 cylinders,gas,10683.0,clean,automatic,fwd,sedan,
42,salt lake city,14476,2017.0,ford,edge,,4 cylinders,gas,81130.0,clean,automatic,4wd,SUV,
43,st george,23295,2013.0,lexus,gs,,6 cylinders,gas,63842.0,clean,automatic,rwd,sedan,silver
